read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m54312U_200807_012324/72155714/ccs,GENOME,1582-2357,"['4/72155714/ccs___0l', '4/72155714/ccs___0r']","['gn', 'gn']",9207,1356631,False
m54312U_200807_012324/8325502/ccs,GENOME,977-1752,"['24/8325502/ccs___0l', '24/8325502/ccs___0r']","['gn', 'gn']",12961,1356631,False
m54312U_200807_012324/160564225/ccs,GENOME,1919-2694,"['/160564225/ccs___0l', '/160564225/ccs___0r']","['gn', 'gn']",9628,1356631,False
m54312U_200807_012324/132448895/ccs,partialRead,10449-11224,['/132448895/ccs___0l'],['gn'],11228,1356632,False
m54312U_200807_012324/59375873/ccs,GENOME,9955-10730,"['4/59375873/ccs___0l', '4/59375873/ccs___0r']","['gn', 'gn']",13801,1356631,False
m54312U_200807_012324/25428421/ccs,partialRead,7-782,['4/25428421/ccs___0r'],['gn'],13828,1356631,False
m54312U_200807_012324/151718354/ccs,GENOME,7553-8328,"['/151718354/ccs___0l', '/151718354/ccs___0r']","['gn', 'gn']",9047,1356631,False
m54312U_200807_012324/139593244/ccs,partialRead,7-782,['/139593244/ccs___0r'],['gn'],11933,1356631,False
m54312U_200807_012324/42404309/ccs,GENOME,2304-3079,"['4/42404309/ccs___0l', '4/42404309/ccs___0r']","['gn', 'gn']",7411,1356631,False
m54312U_200807_012324/21103689/ccs,GENOME,4960-5735,"['4/21103689/ccs___0l', '4/21103689/ccs___0r']","['gn', 'gn']",10567,1356631,False
m54312U_200807_012324/3147024/ccs,GENOME,7852-8627,"['24/3147024/ccs___0l', '24/3147024/ccs___0r']","['gn', 'gn']",10004,1356631,False
m54312U_200807_012324/155779664/ccs,GENOME,8022-8797,"['/155779664/ccs___0l', '/155779664/ccs___0r']","['gn', 'gn']",11457,1356631,False
m54312U_200807_012324/127665063/ccs,GENOME,3949-4724,"['/127665063/ccs___0l', '/127665063/ccs___0r']","['gn', 'gn']",10456,1356632,False
m54312U_200807_012324/20775560/ccs,GENOME,3107-3882,"['4/20775560/ccs___0l', '4/20775560/ccs___0r']","['gn', 'gn']",10434,1356631,False
m54312U_200807_012324/163316813/ccs,GENOME,5866-6641,"['/163316813/ccs___0l', '/163316813/ccs___0r']","['gn', 'gn']",8418,1356631,False
m54312U_200807_012324/142870623/ccs,GENOME,2643-3418,"['/142870623/ccs___0l', '/142870623/ccs___0r']","['gn', 'gn']",11890,1356631,False
m54312U_200807_012324/127010270/ccs,partialRead,3-778,['/127010270/ccs___0r'],['gn'],14965,1356631,False
m54312U_200807_012324/20121689/ccs,pl_multi,2494-3269 _ 6786-7561,"['4/20121689/ccs___0l', '4/20121689/ccs___0r', '4/20121689/ccs___1l', '4/20121689/ccs___1r']","['pl', 'pl', 'pl', 'pl']",8595,,False
m54312U_200807_012324/174328446/ccs,GENOME,6828-7603,"['/174328446/ccs___0l', '/174328446/ccs___0r']","['gn', 'gn']",11656,1356631,False
m54312U_200807_012324/150406422/ccs,GENOME,5775-6550,"['/150406422/ccs___0l', '/150406422/ccs___0r']","['gn', 'gn']",9749,1356631,False
m54312U_200807_012324/134154055/ccs,GENOME,1688-2463,"['/134154055/ccs___0l', '/134154055/ccs___0r']","['gn', 'gn']",10459,1356631,False
m54312U_200807_012324/27657339/ccs,pl_single,2963-3738,"['4/27657339/ccs___0l', '4/27657339/ccs___0r']","['pl', 'pl']",6536,,False
m54312U_200807_012324/102566599/ccs,partialRead,19931-20706,['/102566599/ccs___0l'],['gn'],20715,1356631,False
m54312U_200807_012324/157943397/ccs,GENOME,6379-7154,"['/157943397/ccs___0l', '/157943397/ccs___0r']","['gn', 'gn']",8605,1356631,False
m54312U_200807_012324/145361152/ccs,GENOME,6960-7735,"['/145361152/ccs___0l', '/145361152/ccs___0r']","['gn', 'gn']",10775,1356631,False
m54312U_200807_012324/137364491/ccs,partialRead,8511-9286,['/137364491/ccs___0l'],['gn'],9290,1356631,False
m54312U_200807_012324/4983114/ccs,GENOME,2020-2795,"['24/4983114/ccs___0l', '24/4983114/ccs___0r']","['gn', 'gn']",10436,1356631,False
m54312U_200807_012324/48431377/ccs,GENOME,15171-15946,"['4/48431377/ccs___0l', '4/48431377/ccs___0r']","['gn', 'gn']",19058,1356631,False
m54312U_200807_012324/18286107/ccs,GENOME,3701-4476,"['4/18286107/ccs___0l', '4/18286107/ccs___0r']","['gn', 'gn']",7993,1356631,False
m54312U_200807_012324/109969672/ccs,GENOME,2665-3440,"['/109969672/ccs___0l', '/109969672/ccs___0r']","['gn', 'gn']",8721,1356631,False
