read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m54312U_200818_234926/159581542/ccs,GENOME,5226-6001,"['/159581542/ccs___0l', '/159581542/ccs___0r']","['gn', 'gn']",8009,1372693,False
m54312U_200818_234926/90702980/ccs,GENOME,7459-8234,"['6/90702980/ccs___0l', '6/90702980/ccs___0r']","['gn', 'gn']",12945,1372693,False
m54312U_200818_234926/21955698/ccs,GENOME,9782-10557,"['6/21955698/ccs___0l', '6/21955698/ccs___0r']","['gn', 'gn']",12358,1372693,False
m54312U_200818_234926/164889817/ccs,partialRead,12156-12931,['/164889817/ccs___0l'],['gn'],12935,1372693,False
m54312U_200818_234926/27788521/ccs,partialRead,12874-13649,['6/27788521/ccs___0l'],['gn'],13677,1372693,False
m54312U_200818_234926/161941692/ccs,GENOME,7864-8639,"['/161941692/ccs___0l', '/161941692/ccs___0r']","['gn', 'gn']",10946,1372693,False
m54312U_200818_234926/176883391/ccs,GENOME,7686-8461,"['/176883391/ccs___0l', '/176883391/ccs___0r']","['gn', 'gn']",12508,1372693,False
m54312U_200818_234926/62065010/ccs,GENOME,745-1520,"['6/62065010/ccs___0l', '6/62065010/ccs___0r']","['gn', 'gn']",10747,1372693,False
m54312U_200818_234926/164497014/ccs,GENOME,6287-7062,"['/164497014/ccs___0l', '/164497014/ccs___0r']","['gn', 'gn']",8419,1372693,False
m54312U_200818_234926/36176111/ccs,GENOME,1138-1913,"['6/36176111/ccs___0l', '6/36176111/ccs___0r']","['gn', 'gn']",9817,1372693,False
m54312U_200818_234926/15075455/ccs,GENOME,7185-7960,"['6/15075455/ccs___0l', '6/15075455/ccs___0r']","['gn', 'gn']",9894,1372693,False
m54312U_200818_234926/98698895/ccs,partialRead,18451-19226,['6/98698895/ccs___0l'],['gn'],19236,1372693,False
m54312U_200818_234926/2100047/ccs,GENOME,2096-2871,"['26/2100047/ccs___0l', '26/2100047/ccs___0r']","['gn', 'gn']",10219,1372693,False
m54312U_200818_234926/15008190/ccs,GENOME,4910-5685,"['6/15008190/ccs___0l', '6/15008190/ccs___0r']","['gn', 'gn']",15623,1372693,False
m54312U_200818_234926/53477759/ccs,GENOME,4095-4870,"['6/53477759/ccs___0l', '6/53477759/ccs___0r']","['gn', 'gn']",16126,1372693,False
m54312U_200818_234926/121375015/ccs,GENOME,5861-6636,"['/121375015/ccs___0l', '/121375015/ccs___0r']","['gn', 'gn']",9239,1372693,False
m54312U_200818_234926/50398713/ccs,GENOME,9465-10240,"['6/50398713/ccs___0l', '6/50398713/ccs___0r']","['gn', 'gn']",15165,1372693,False
m54312U_200818_234926/27066668/ccs,GENOME,3181-3956,"['6/27066668/ccs___0l', '6/27066668/ccs___0r']","['gn', 'gn']",8014,1372694,False
m54312U_200818_234926/143984456/ccs,GENOME,678-1453,"['/143984456/ccs___0l', '/143984456/ccs___0r']","['gn', 'gn']",9763,1372693,False
m54312U_200818_234926/55969006/ccs,GENOME,6889-7664,"['6/55969006/ccs___0l', '6/55969006/ccs___0r']","['gn', 'gn']",13601,1372693,False
m54312U_200818_234926/69993099/ccs,GENOME,8933-9708,"['6/69993099/ccs___0l', '6/69993099/ccs___0r']","['gn', 'gn']",12744,1372693,False
m54312U_200818_234926/26938054/ccs,GENOME,2015-2790,"['6/26938054/ccs___0l', '6/26938054/ccs___0r']","['gn', 'gn']",10966,1372694,False
m54312U_200818_234926/158400882/ccs,GENOME,1165-1940,"['/158400882/ccs___0l', '/158400882/ccs___0r']","['gn', 'gn']",7799,1372693,False
m54312U_200818_234926/75565325/ccs,GENOME,4696-5471,"['6/75565325/ccs___0l', '6/75565325/ccs___0r']","['gn', 'gn']",6946,1372693,False
m54312U_200818_234926/47253763/ccs,GENOME,3352-4127,"['6/47253763/ccs___0l', '6/47253763/ccs___0r']","['gn', 'gn']",8157,1372693,False
m54312U_200818_234926/152568484/ccs,unknown,2714-3489,"['/152568484/ccs___0l', '/152568484/ccs___0r']","['gn', 'unknown']",9846,1372693,False
m54312U_200818_234926/138020911/ccs,GENOME,11336-12111,"['/138020911/ccs___0l', '/138020911/ccs___0r']","['gn', 'gn']",15134,1372693,False
m54312U_200818_234926/17828063/ccs,pl_multi,975-1750 _ 5266-6041,"['6/17828063/ccs___0l', '6/17828063/ccs___0r', '6/17828063/ccs___1l', '6/17828063/ccs___1r']","['pl', 'pl', 'pl', 'pl']",9057,,False
m54312U_200818_234926/32573185/ccs,GENOME,5600-6375,"['6/32573185/ccs___0l', '6/32573185/ccs___0r']","['gn', 'gn']",6473,1372693,False
m54312U_200818_234926/169542664/ccs,GENOME,5612-6387,"['/169542664/ccs___0l', '/169542664/ccs___0r']","['gn', 'gn']",9633,1372693,False
m54312U_200818_234926/43974985/ccs,GENOME,7700-8475,"['6/43974985/ccs___0l', '6/43974985/ccs___0r']","['gn', 'gn']",9436,1372693,False
m54312U_200818_234926/109249472/ccs,GENOME,2703-3478,"['/109249472/ccs___0l', '/109249472/ccs___0r']","['gn', 'gn']",14575,1372694,False
m54312U_200818_234926/60950749/ccs,unknown,4102-4877,"['6/60950749/ccs___0l', '6/60950749/ccs___0r']","['unknown', 'gn']",7902,1372693,False
m54312U_200818_234926/26149848/ccs,GENOME,11028-11803,"['6/26149848/ccs___0l', '6/26149848/ccs___0r']","['gn', 'gn']",13041,1372694,False
m54312U_200818_234926/4065875/ccs,GENOME,6336-7111,"['26/4065875/ccs___0l', '26/4065875/ccs___0r']","['gn', 'gn']",11071,1372694,False
m54312U_200818_234926/40634969/ccs,GENOME,8892-9667,"['6/40634969/ccs___0l', '6/40634969/ccs___0r']","['gn', 'gn']",10023,1372693,False
m54312U_200818_234926/166136312/ccs,GENOME,848-1623,"['/166136312/ccs___0l', '/166136312/ccs___0r']","['gn', 'gn']",12839,1372693,False
m54312U_200818_234926/123013808/ccs,GENOME,6103-6878,"['/123013808/ccs___0l', '/123013808/ccs___0r']","['gn', 'gn']",10227,1372693,False
m54312U_200818_234926/28968491/ccs,GENOME,5739-6514,"['6/28968491/ccs___0l', '6/28968491/ccs___0r']","['gn', 'gn']",8363,1372693,False
m54312U_200818_234926/74582072/ccs,GENOME,2297-3072,"['6/74582072/ccs___0l', '6/74582072/ccs___0r']","['gn', 'gn']",14399,1372693,False
m54312U_200818_234926/151456051/ccs,GENOME,155-930,"['/151456051/ccs___0l', '/151456051/ccs___0r']","['gn', 'gn']",10329,1372693,False
m54312U_200818_234926/105842464/ccs,GENOME,8532-9307,"['/105842464/ccs___0l', '/105842464/ccs___0r']","['gn', 'gn']",10760,1372693,False
m54312U_200818_234926/48957764/ccs,GENOME,6437-7212,"['6/48957764/ccs___0l', '6/48957764/ccs___0r']","['gn', 'gn']",10233,1372693,False
m54312U_200818_234926/145426124/ccs,GENOME,8922-9697,"['/145426124/ccs___0l', '/145426124/ccs___0r']","['gn', 'gn']",14268,1372693,False
m54312U_200818_234926/37356091/ccs,GENOME,2939-3714,"['6/37356091/ccs___0l', '6/37356091/ccs___0r']","['gn', 'gn']",12620,1372694,False
m54312U_200818_234926/171771655/ccs,unknown,3845-4620,"['/171771655/ccs___0l', '/171771655/ccs___0r']","['gn', 'unknown']",9172,1372693,False
m54312U_200818_234926/54659586/ccs,GENOME,1310-2085,"['6/54659586/ccs___0l', '6/54659586/ccs___0r']","['gn', 'gn']",21473,1372693,False
m54312U_200818_234926/22479644/ccs,GENOME,4268-5043,"['6/22479644/ccs___0l', '6/22479644/ccs___0r']","['gn', 'gn']",8401,1372693,False
m54312U_200818_234926/151126439/ccs,GENOME,3643-4418,"['/151126439/ccs___0l', '/151126439/ccs___0r']","['gn', 'gn']",15570,1372693,False
m54312U_200818_234926/130810415/ccs,GENOME,280-1055,"['/130810415/ccs___0l', '/130810415/ccs___0r']","['gn', 'gn']",12717,1372693,False
m54312U_200818_234926/39846605/ccs,GENOME,6216-6991,"['6/39846605/ccs___0l', '6/39846605/ccs___0r']","['gn', 'gn']",8211,1372693,False
m54312U_200818_234926/33491181/ccs,GENOME,25522-26298,"['6/33491181/ccs___0l', '6/33491181/ccs___0r']","['gn', 'gn']",27476,1372693,False
m54312U_200818_234926/90376741/ccs,GENOME,1187-1963,"['6/90376741/ccs___0l', '6/90376741/ccs___0r']","['gn', 'gn']",18299,1372694,False
m54312U_200818_234926/179700985/ccs,GENOME,10152-10928,"['/179700985/ccs___0l', '/179700985/ccs___0r']","['gn', 'gn']",12785,1372693,False
m54312U_200818_234926/127010017/ccs,GENOME,1360-2136,"['/127010017/ccs___0l', '/127010017/ccs___0r']","['gn', 'gn']",8883,1372693,False
