read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m54312U_200808_073815/128517271/ccs,COINTEGRATE,2068-3198,"['/128517271/ccs___0l', '/128517271/ccs___0r']","['pl', 'gn']",13838,2461539,False
m54312U_200808_073815/145820440/ccs,COINTEGRATE,2770-3900,"['/145820440/ccs___0l', '/145820440/ccs___0r']","['pl', 'gn']",10403,2650675,False
m54312U_200808_073815/19399711/ccs,COINTEGRATE,5139-6269,"['5/19399711/ccs___0l', '5/19399711/ccs___0r']","['gn', 'pl']",8518,2642857,False
m54312U_200808_073815/92801878/ccs,COINTEGRATE,1939-3069 _ 6599-7729,"['5/92801878/ccs___0l', '5/92801878/ccs___0r', '5/92801878/ccs___1l', '5/92801878/ccs___1r']","['gn', 'pl', 'pl', 'gn']",11500,2642852,False
m54312U_200808_073815/25821202/ccs,COINTEGRATE,5022-6152 _ 9687-10817,"['5/25821202/ccs___0l', '5/25821202/ccs___0r', '5/25821202/ccs___1l', '5/25821202/ccs___1r']","['gn', 'pl', 'pl', 'gn']",18456,2642852,False
m54312U_200808_073815/134155016/ccs,COINTEGRATE,2664-3794,"['/134155016/ccs___0l', '/134155016/ccs___0r']","['pl', 'gn']",11184,2642852,False
m54312U_200808_073815/180420692/ccs,COINTEGRATE,4410-5540,"['/180420692/ccs___0l', '/180420692/ccs___0r']","['gn', 'pl']",10026,2642857,False
m54312U_200808_073815/25692982/ccs,COINTEGRATE,2665-3795 _ 7330-8460,"['5/25692982/ccs___0l', '5/25692982/ccs___0r', '5/25692982/ccs___1l', '5/25692982/ccs___1r']","['gn', 'pl', 'pl', 'gn']",8663,2642857,False
m54312U_200808_073815/19268029/ccs,COINTEGRATE,6056-7186,"['5/19268029/ccs___0l', '5/19268029/ccs___0r']","['gn', 'pl']",9774,2642852,False
m54312U_200808_073815/116590312/ccs,COINTEGRATE,1171-2300 _ 5834-6964,"['/116590312/ccs___0l', '/116590312/ccs___0r', '/116590312/ccs___1l', '/116590312/ccs___1r']","['gn', 'pl', 'pl', 'gn']",14322,2819594,False
m54312U_200808_073815/86246494/ccs,COINTEGRATE,4456-5587 _ 9124-10254,"['5/86246494/ccs___0l', '5/86246494/ccs___0r', '5/86246494/ccs___1l', '5/86246494/ccs___1r']","['gn', 'pl', 'pl', 'gn']",12057,2642853,False
