read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m54312U_200807_012324/109774375/ccs,GENOME,4461-5236,"['/109774375/ccs___0l', '/109774375/ccs___0r']","['gn', 'gn']",7890,1372693,False
m54312U_200807_012324/167971119/ccs,GENOME,6173-6948,"['/167971119/ccs___0l', '/167971119/ccs___0r']","['gn', 'gn']",13231,1372693,False
m54312U_200807_012324/64094942/ccs,GENOME,2200-2975,"['4/64094942/ccs___0l', '4/64094942/ccs___0r']","['gn', 'gn']",10766,1372693,False
m54312U_200807_012324/140575999/ccs,GENOME,457-1232,"['/140575999/ccs___0l', '/140575999/ccs___0r']","['gn', 'gn']",10905,1372693,False
m54312U_200807_012324/176029700/ccs,GENOME,2192-2967,"['/176029700/ccs___0l', '/176029700/ccs___0r']","['gn', 'gn']",12059,1372693,False
m54312U_200807_012324/109447584/ccs,GENOME,3100-3875,"['/109447584/ccs___0l', '/109447584/ccs___0r']","['gn', 'gn']",11902,1372693,False
m54312U_200807_012324/76022107/ccs,GENOME,2439-3214,"['4/76022107/ccs___0l', '4/76022107/ccs___0r']","['gn', 'gn']",13378,1372693,False
m54312U_200807_012324/7864844/ccs,GENOME,2789-3564,"['24/7864844/ccs___0l', '24/7864844/ccs___0r']","['gn', 'gn']",11350,1372693,False
m54312U_200807_012324/25362658/ccs,GENOME,10931-11706,"['4/25362658/ccs___0l', '4/25362658/ccs___0r']","['gn', 'gn']",14440,1372694,False
m54312U_200807_012324/63701955/ccs,GENOME,14115-14890,"['4/63701955/ccs___0l', '4/63701955/ccs___0r']","['gn', 'gn']",16721,1372694,False
m54312U_200807_012324/92537580/ccs,GENOME,7606-8381,"['4/92537580/ccs___0l', '4/92537580/ccs___0r']","['gn', 'gn']",11334,1372693,False
m54312U_200807_012324/16581873/ccs,GENOME,5802-6577,"['4/16581873/ccs___0l', '4/16581873/ccs___0r']","['gn', 'gn']",6764,1372693,False
m54312U_200807_012324/112920775/ccs,pl_multi,1868-2642 _ 6158-6933,"['/112920775/ccs___0l', '/112920775/ccs___0r', '/112920775/ccs___1l', '/112920775/ccs___1r']","['pl', 'pl', 'pl', 'pl']",8384,,False
m54312U_200807_012324/139984986/ccs,GENOME,2427-3202,"['/139984986/ccs___0l', '/139984986/ccs___0r']","['gn', 'gn']",9635,1372693,False
m54312U_200807_012324/96208910/ccs,GENOME,5183-5958,"['4/96208910/ccs___0l', '4/96208910/ccs___0r']","['gn', 'gn']",9248,1372693,False
m54312U_200807_012324/104531319/ccs,GENOME,11236-12011,"['/104531319/ccs___0l', '/104531319/ccs___0r']","['gn', 'gn']",14852,1372693,False
