read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m54312U_200818_234926/102958844/ccs,COINTEGRATE,4411-5597 _ 9134-10322,"['/102958844/ccs___0l', '/102958844/ccs___0r', '/102958844/ccs___1l', '/102958844/ccs___1r']","['gn', 'pl', 'pl', 'gn']",21074,542686,False
m54312U_200818_234926/3475673/ccs,partialRead,2-1188,['26/3475673/ccs___0r'],['gn'],7644,3480025,False
m54312U_200818_234926/49481661/ccs,COINTEGRATE,14285-15471,"['6/49481661/ccs___0l', '6/49481661/ccs___0r']","['gn', 'pl']",17541,2398840,False
m54312U_200818_234926/149030886/ccs,COINTEGRATE,6417-7604 _ 11142-12328,"['/149030886/ccs___0l', '/149030886/ccs___0r', '/149030886/ccs___1l', '/149030886/ccs___1r']","['gn', 'pl', 'pl', 'gn']",19779,1382724,False
m54312U_200818_234926/119211250/ccs,COINTEGRATE,4653-5839,"['/119211250/ccs___0l', '/119211250/ccs___0r']","['pl', 'gn']",11638,3023080,False
m54312U_200818_234926/10748178/ccs,COINTEGRATE,698-1884 _ 5419-6605,"['6/10748178/ccs___0l', '6/10748178/ccs___0r', '6/10748178/ccs___1l', '6/10748178/ccs___1r']","['gn', 'pl', 'pl', 'gn']",8766,1356558,False
m54312U_200818_234926/132383670/ccs,COINTEGRATE,2050-3236,"['/132383670/ccs___0l', '/132383670/ccs___0r']","['pl', 'gn']",14227,3113154,False
m54312U_200818_234926/118950476/ccs,COINTEGRATE,4901-6087,"['/118950476/ccs___0l', '/118950476/ccs___0r']","['gn', 'pl']",8570,1725266,False
m54312U_200818_234926/3080805/ccs,COINTEGRATE,3454-4641 _ 8178-9364,"['26/3080805/ccs___0l', '26/3080805/ccs___0r', '26/3080805/ccs___1l', '26/3080805/ccs___1r']","['gn', 'pl', 'pl', 'gn']",12402,1356558,False
m54312U_200818_234926/25232844/ccs,COINTEGRATE,2454-3640,"['6/25232844/ccs___0l', '6/25232844/ccs___0r']","['pl', 'gn']",13586,1489409,False
m54312U_200818_234926/45943485/ccs,COINTEGRATE,1625-2810 _ 6349-7535,"['6/45943485/ccs___0l', '6/45943485/ccs___0r', '6/45943485/ccs___1l', '6/45943485/ccs___1r']","['gn', 'pl', 'pl', 'gn']",9475,1356559,False
m54312U_200818_234926/85525695/ccs,COINTEGRATE,3253-4439 _ 7974-9160,"['6/85525695/ccs___0l', '6/85525695/ccs___0r', '6/85525695/ccs___1l', '6/85525695/ccs___1r']","['gn', 'pl', 'pl', 'gn']",11177,1252556,False
m54312U_200818_234926/102563960/ccs,COINTEGRATE,2189-3375 _ 6910-8097,"['/102563960/ccs___0l', '/102563960/ccs___0r', '/102563960/ccs___1l', '/102563960/ccs___1r']","['gn', 'pl', 'pl', 'gn']",16656,1356559,False
