read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m54312U_200808_073815/5308533/ccs,COINTEGRATE,6179-7310 _ 10846-11976,"['15/5308533/ccs___0l', '15/5308533/ccs___0r', '15/5308533/ccs___1l', '15/5308533/ccs___1r']","['gn', 'pl', 'pl', 'gn']",13556,1372620,False
m54312U_200808_073815/11012530/ccs,COINTEGRATE,3531-4661,"['5/11012530/ccs___0l', '5/11012530/ccs___0r']","['pl', 'gn']",6952,2449117,False
m54312U_200808_073815/149555390/ccs,COINTEGRATE,10110-11240,"['/149555390/ccs___0l', '/149555390/ccs___0r']","['gn', 'pl']",14970,1372620,False
m54312U_200808_073815/22348918/ccs,COINTEGRATE,9597-10727,"['5/22348918/ccs___0l', '5/22348918/ccs___0r']","['gn', 'pl']",10965,1372621,False
m54312U_200808_073815/102761801/ccs,GENOME,6724-7854,"['/102761801/ccs___0l', '/102761801/ccs___0r']","['gn', 'gn']",13702,899340,False
m54312U_200808_073815/102565414/ccs,pl_multi,172-1302 _ 4837-5967,"['/102565414/ccs___0l', '/102565414/ccs___0r', '/102565414/ccs___1l', '/102565414/ccs___1r']","['pl', 'pl', 'pl', 'pl']",9293,,False
m54312U_200808_073815/81463599/ccs,COINTEGRATE,4417-5547,"['5/81463599/ccs___0l', '5/81463599/ccs___0r']","['pl', 'gn']",15265,1372621,False
m54312U_200808_073815/55183212/ccs,COINTEGRATE,6014-7144 _ 10679-11808,"['5/55183212/ccs___0l', '5/55183212/ccs___0r', '5/55183212/ccs___1l', '5/55183212/ccs___1r']","['gn', 'pl', 'pl', 'gn']",13174,1372620,False
m54312U_200808_073815/44436174/ccs,COINTEGRATE,2088-3218 _ 6757-7887,"['5/44436174/ccs___0l', '5/44436174/ccs___0r', '5/44436174/ccs___1l', '5/44436174/ccs___1r']","['gn', 'pl', 'pl', 'gn']",11533,1372620,False
m54312U_200808_073815/138217746/ccs,COINTEGRATE,12089-13219 _ 16757-17887,"['/138217746/ccs___0l', '/138217746/ccs___0r', '/138217746/ccs___1l', '/138217746/ccs___1r']","['gn', 'pl', 'pl', 'gn']",18274,1372621,False
m54312U_200808_073815/169280784/ccs,pl_multi,1356-2486 _ 6023-7153,"['/169280784/ccs___0l', '/169280784/ccs___0r', '/169280784/ccs___1l', '/169280784/ccs___1r']","['pl', 'pl', 'pl', 'pl']",8895,,False
m54312U_200808_073815/127336808/ccs,COINTEGRATE,7938-9068,"['/127336808/ccs___0l', '/127336808/ccs___0r']","['gn', 'pl']",11529,1372626,False
m54312U_200808_073815/122159716/ccs,COINTEGRATE,2108-3238 _ 6775-7905,"['/122159716/ccs___0l', '/122159716/ccs___0r', '/122159716/ccs___1l', '/122159716/ccs___1r']","['pl', 'pl', 'pl', 'gn']",11619,1372621,True
m54312U_200808_073815/3278762/ccs,partialRead,6053-7183,['15/3278762/ccs___0l'],['gn'],7218,1372621,False
m54312U_200808_073815/64488630/ccs,COINTEGRATE,675-1805 _ 5340-6470,"['5/64488630/ccs___0l', '5/64488630/ccs___0r', '5/64488630/ccs___1l', '5/64488630/ccs___1r']","['pl', 'pl', 'pl', 'gn']",12164,4480016,True
m54312U_200808_073815/111282231/ccs,COINTEGRATE,4940-6070 _ 9611-10744,"['/111282231/ccs___0l', '/111282231/ccs___0r', '/111282231/ccs___1l', '/111282231/ccs___1r']","['gn', 'pl', 'pl', 'pl']",14359,1372621,True
m54312U_200808_073815/173277620/ccs,unknown,3041-4171 _ 7691-8821,"['/173277620/ccs___0l', '/173277620/ccs___0r', '/173277620/ccs___1l', '/173277620/ccs___1r']","['gn', 'unknown', 'unknown', 'gn']",13497,1372626,False
m54312U_200808_073815/14092107/ccs,COINTEGRATE,1034-2164,"['5/14092107/ccs___0l', '5/14092107/ccs___0r']","['pl', 'gn']",12060,1372621,False
m54312U_200808_073815/141690843/ccs,COINTEGRATE,9757-10887,"['/141690843/ccs___0l', '/141690843/ccs___0r']","['gn', 'pl']",15325,2580953,False
m54312U_200808_073815/100271386/ccs,COINTEGRATE,1366-2496,"['/100271386/ccs___0l', '/100271386/ccs___0r']","['pl', 'gn']",17651,1372621,False
m54312U_200808_073815/36438567/ccs,pl_multi,3859-4989 _ 8524-9654,"['5/36438567/ccs___0l', '5/36438567/ccs___0r', '5/36438567/ccs___1l', '5/36438567/ccs___1r']","['pl', 'pl', 'pl', 'pl']",12975,,False
m54312U_200808_073815/146473362/ccs,COINTEGRATE,4265-5395,"['/146473362/ccs___0l', '/146473362/ccs___0r']","['pl', 'gn']",13359,1372621,False
