read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m64019_201211_010738/94766548/ccs,COINTEGRATE,3655-4855,"['8/94766548/ccs___0l', '8/94766548/ccs___0r']","['pl', 'gn']",7881,1356546,False
m64019_201211_010738/171836154/ccs,COINTEGRATE,8925-10125,"['/171836154/ccs___0l', '/171836154/ccs___0r']","['gn', 'pl']",11561,1356546,False
m64019_201211_010738/127862556/ccs,COINTEGRATE,3962-5162,"['/127862556/ccs___0l', '/127862556/ccs___0r']","['pl', 'gn']",11090,1356549,False
m64019_201211_010738/162595340/ccs,COINTEGRATE,2261-3461,"['/162595340/ccs___0l', '/162595340/ccs___0r']","['pl', 'gn']",9730,1356546,False
m64019_201211_010738/12519616/ccs,COINTEGRATE,174-1374 _ 4937-6138,"['8/12519616/ccs___0l', '8/12519616/ccs___0r', '8/12519616/ccs___1l', '8/12519616/ccs___1r']","['gn', 'pl', 'pl', 'gn']",17615,1356549,False
m64019_201211_010738/158400916/ccs,COINTEGRATE,2257-3457,"['/158400916/ccs___0l', '/158400916/ccs___0r']","['pl', 'gn']",7572,1356549,False
m64019_201211_010738/77399926/ccs,COINTEGRATE,2201-3401,"['8/77399926/ccs___0l', '8/77399926/ccs___0r']","['pl', 'gn']",11531,1356549,False
m64019_201211_010738/7864941/ccs,COINTEGRATE,5561-6761,"['38/7864941/ccs___0l', '38/7864941/ccs___0r']","['gn', 'pl']",9850,1356549,False
m64019_201211_010738/102827778/ccs,COINTEGRATE,214-1414,"['/102827778/ccs___0l', '/102827778/ccs___0r']","['pl', 'gn']",7553,1356549,False
m64019_201211_010738/43123594/ccs,COINTEGRATE,1622-2822,"['8/43123594/ccs___0l', '8/43123594/ccs___0r']","['pl', 'gn']",7949,1356549,False
m64019_201211_010738/64292776/ccs,COINTEGRATE,9051-10251,"['8/64292776/ccs___0l', '8/64292776/ccs___0r']","['gn', 'pl']",10990,1356549,False
m64019_201211_010738/140379825/ccs,COINTEGRATE,1605-2805,"['/140379825/ccs___0l', '/140379825/ccs___0r']","['pl', 'gn']",11321,1356549,False
m64019_201211_010738/171116748/ccs,COINTEGRATE,615-1815 _ 5374-6574,"['/171116748/ccs___0l', '/171116748/ccs___0r', '/171116748/ccs___1l', '/171116748/ccs___1r']","['gn', 'pl', 'pl', 'gn']",8977,1356549,False
