read_id,type,hsps,ends,types,read_length,genome_location,is_multi_coint
m64019_201211_010738/87360275/ccs,COINTEGRATE,2975-4175,"['8/87360275/ccs___0l', '8/87360275/ccs___0r']","['pl', 'gn']",9788,1356549,False
m64019_201211_010738/122486812/ccs,COINTEGRATE,12158-13358,"['/122486812/ccs___0l', '/122486812/ccs___0r']","['gn', 'pl']",14329,1356549,False
m64019_201211_010738/117507985/ccs,COINTEGRATE,4099-5299,"['/117507985/ccs___0l', '/117507985/ccs___0r']","['gn', 'pl']",8868,1356549,False
m64019_201211_010738/4261821/ccs,GENOME,9949-11149,"['38/4261821/ccs___0l', '38/4261821/ccs___0r']","['gn', 'gn']",11266,1356546,False
m64019_201211_010738/102303822/ccs,COINTEGRATE,754-1954 _ 5513-6714,"['/102303822/ccs___0l', '/102303822/ccs___0r', '/102303822/ccs___1l', '/102303822/ccs___1r']","['gn', 'pl', 'pl', 'gn']",11209,1356549,False
m64019_201211_010738/77203948/ccs,COINTEGRATE,9817-11017,"['8/77203948/ccs___0l', '8/77203948/ccs___0r']","['gn', 'pl']",14142,1356549,False
m64019_201211_010738/137694027/ccs,COINTEGRATE,5965-7165,"['/137694027/ccs___0l', '/137694027/ccs___0r']","['gn', 'pl']",8550,1356546,False
m64019_201211_010738/132516623/ccs,partialRead,8436-9636,['/132516623/ccs___0l'],['gn'],9655,1356549,False
m64019_201211_010738/137562374/ccs,COINTEGRATE,4341-5540 _ 9096-10296,"['/137562374/ccs___0l', '/137562374/ccs___0r', '/137562374/ccs___1l', '/137562374/ccs___1r']","['gn', 'pl', 'pl', 'gn']",15576,1356549,False
m64019_201211_010738/46467095/ccs,COINTEGRATE,8590-9790,"['8/46467095/ccs___0l', '8/46467095/ccs___0r']","['gn', 'pl']",13404,1356549,False
m64019_201211_010738/163907954/ccs,COINTEGRATE,3602-4802 _ 8373-9575,"['/163907954/ccs___0l', '/163907954/ccs___0r', '/163907954/ccs___1l', '/163907954/ccs___1r']","['gn', 'pl', 'pl', 'gn']",13588,1356549,False
m64019_201211_010738/163841735/ccs,COINTEGRATE,1906-3106 _ 6670-7871,"['/163841735/ccs___0l', '/163841735/ccs___0r', '/163841735/ccs___1l', '/163841735/ccs___1r']","['gn', 'pl', 'pl', 'gn']",14235,1356549,False
m64019_201211_010738/81265759/ccs,COINTEGRATE,1698-2898,"['8/81265759/ccs___0l', '8/81265759/ccs___0r']","['pl', 'gn']",8974,1356549,False
m64019_201211_010738/158270866/ccs,COINTEGRATE,2073-3273 _ 6832-8032,"['/158270866/ccs___0l', '/158270866/ccs___0r', '/158270866/ccs___1l', '/158270866/ccs___1r']","['gn', 'pl', 'pl', 'gn']",9923,72270,False
m64019_201211_010738/152764970/ccs,COINTEGRATE,6118-7318 _ 10878-12078,"['/152764970/ccs___0l', '/152764970/ccs___0r', '/152764970/ccs___1l', '/152764970/ccs___1r']","['gn', 'pl', 'pl', 'gn']",15829,1356546,False
m64019_201211_010738/131597062/ccs,COINTEGRATE,8995-10195,"['/131597062/ccs___0l', '/131597062/ccs___0r']","['gn', 'pl']",11260,1356549,False
